subject,year,session,paper_path,key_path
CS,2007,Single Session,CS/2007/GATE_CS_2007.pdf,
CS,2008,Single Session,CS/2008/GATE_CS_2008.pdf,
CS,2009,Single Session,CS/2009/GATE_CS_2009.pdf,
CS,2010,Single Session,CS/2010/GATE_CS_2010.pdf,
CS,2011,Single Session,CS/2011/GATE_CS_2011.pdf,
CS,2012,Single Session,CS/2012/GATE_CS_2012.pdf,
CS,2013,Single Session,CS/2013/GATE_CS_2013.pdf,
CS,2014,Single Session,CS/2014/GATE_CS_2014.pdf,
CS,2015,Single Session,CS/2015/GATE_CS_2015.pdf,
CS,2016,Single Session,CS/2016/GATE_CS_2016.pdf,
CS,2017,Session 1,CS/2017/GATE_CS_2017_Session_1.pdf,
CS,2017,Session 2,CS/2017/GATE_CS_2017_Session_2.pdf,
CS,2018,Single Session,CS/2018/GATE_CS_2018.pdf,
CS,2019,Single Session,CS/2019/GATE_CS_2019.pdf,
CS,2020,Single Session,CS/2020/GATE_CS_2020.pdf,
CS,2021,Session 1,CS/2021/GATE_CS_2021_Session_1.pdf,CS/2021/GATE_CS_2021_Session_1_Answer_Key.pdf
CS,2021,Session 2,CS/2021/GATE_CS_2021_Session_2.pdf,CS/2021/GATE_CS_2021_Session_2_Answer_Key.pdf
CS,2022,Single Session,CS/2022/GATE_CS_2022.pdf,CS/2022/GATE_CS_2022_Answer_Key.pdf
CS,2023,Single Session,CS/2023/GATE_CS_2023.pdf,CS/2023/GATE_CS_2023_Answer_Key.pdf
CS,2024,Session 1,CS/2024/GATE_CS_2024_Session_1.pdf,CS/2024/GATE_CS_2024_Session_1_Answer_Key.pdf
CS,2024,Session 2,CS/2024/GATE_CS_2024_Session_2.pdf,CS/2024/GATE_CS_2024_Session_2_Answer_Key.pdf
CS,2025,Session 1,CS/2025/GATE_CS_2025_Session_1.pdf,CS/2025/GATE_CS_2025_Session_1_Answer_Key.pdf
CS,2025,Session 2,CS/2025/GATE_CS_2025_Session_2.pdf,CS/2025/GATE_CS_2025_Session_2_Answer_Key.pdf
CS,2026,Session 1,CS/2026/GATE_CS_2026_Session_1.pdf,CS/2026/GATE_CS_2026_Session_1_Answer_Key.pdf
CS,2026,Session 2,CS/2026/GATE_CS_2026_Session_2.pdf,CS/2026/GATE_CS_2026_Session_2_Answer_Key.pdf
DA,2024,Single Session,DA/2024/GATE_DA_2024.pdf,DA/2024/GATE_DA_2024_Answer_Key.pdf
DA,2025,Single Session,DA/2025/GATE_DA_2025.pdf,DA/2025/GATE_DA_2025_Answer_Key.pdf
DA,2026,Single Session,DA/2026/GATE_DA_2026.pdf,DA/2026/GATE_DA_2026_Answer_Key.pdf
